1.000000000000e-03	4.796163466381e-13
1.000000126284e-03	-6.682192577045e-10
1.000000378853e-03	-4.992369184720e-09
1.000000883991e-03	-4.915219520285e-08
1.000001560248e-03	-2.253621929071e-07
1.000002912761e-03	-9.555301367925e-07
1.000004207866e-03	-1.937129145091e-06
1.000006798078e-03	-4.155281430940e-06
1.000010000000e-03	-7.053262464751e-06
1.000010363430e-03	-7.373469522065e-06
1.000011090291e-03	-8.020973741196e-06
1.000012544012e-03	-9.290015142938e-06
1.000015451453e-03	-1.154572929352e-05
1.000021266337e-03	-1.423936740963e-05
1.000031266337e-03	-9.414335092828e-06
1.000041266337e-03	1.212183886778e-05
1.000051266337e-03	5.563561768085e-05
1.000061266337e-03	1.250781147526e-04
1.000071266337e-03	2.235409839813e-04
1.000081266337e-03	3.533856837450e-04
1.000091266337e-03	5.163743885959e-04
1.000101266337e-03	7.139851769438e-04
1.000111266337e-03	9.475083807473e-04
1.000121266337e-03	1.218833697830e-03
1.000131266337e-03	1.531885200958e-03
1.000141266337e-03	1.893873974574e-03
1.000151266337e-03	2.319479730055e-03
1.000161266337e-03	2.872432468845e-03
1.000171266337e-03	3.597653832887e-03
1.000181266337e-03	4.504725059970e-03
1.000191266337e-03	5.586186164685e-03
1.000201266337e-03	6.835006535489e-03
1.000211266337e-03	8.242208667859e-03
1.000221266337e-03	9.803506637304e-03
1.000231266337e-03	1.151330409156e-02
1.000241266337e-03	1.336975421625e-02
1.000251266337e-03	1.536921380536e-02
1.000261266337e-03	1.751099427211e-02
1.000271266337e-03	1.979242513784e-02
1.000281266337e-03	2.221333199288e-02
1.000291266337e-03	2.477102572487e-02
1.000301266337e-03	2.746809665371e-02
1.000311266337e-03	3.030040279248e-02
1.000321266337e-03	3.326821544318e-02
1.000331266337e-03	3.636998396796e-02
1.000341266337e-03	3.960576299889e-02
1.000351266337e-03	4.297429118120e-02
1.000361266337e-03	4.647553566710e-02
1.000371266337e-03	5.010838316075e-02
1.000381266337e-03	5.387277125480e-02
1.000391266337e-03	5.776766887465e-02
1.000401266337e-03	6.179301272768e-02
1.000411266337e-03	6.594781795097e-02
1.000421266337e-03	7.023203342212e-02
1.000431266337e-03	7.464470080147e-02
1.000441266337e-03	7.918578592633e-02
1.000451266337e-03	8.385434630784e-02
1.000461266337e-03	8.865036524838e-02
1.000471266337e-03	9.357291041720e-02
1.000481266337e-03	9.862198098519e-02
1.000491266337e-03	1.037966518183e-01
1.000501266337e-03	1.090969354309e-01
1.000511266337e-03	1.145219124126e-01
1.000521266337e-03	1.200716057899e-01
1.000531266337e-03	1.257451011848e-01
1.000541266337e-03	1.315424293246e-01
1.000551266337e-03	1.374626805709e-01
1.000561266337e-03	1.435058907199e-01
1.000571266337e-03	1.496711547597e-01
1.000581266337e-03	1.559585111644e-01
1.000591266337e-03	1.623670595049e-01
1.000601266337e-03	1.688968388049e-01
1.000611266337e-03	1.755469531759e-01
1.000621266337e-03	1.823174403224e-01
1.000631266337e-03	1.892074088376e-01
1.000641266337e-03	1.962168934704e-01
1.000651266337e-03	2.033450072043e-01
1.000661266337e-03	2.105917804132e-01
1.000671266337e-03	2.179563303458e-01
1.000681266337e-03	2.254386817719e-01
1.000691266337e-03	2.330379560515e-01
1.000701266337e-03	2.407541712950e-01
1.000711266337e-03	2.485864527889e-01
1.000721266337e-03	2.565348110758e-01
1.000731266337e-03	2.645983751746e-01
1.000741266337e-03	2.727771472801e-01
1.000751266337e-03	2.810702599322e-01
1.000761266337e-03	2.894777063195e-01
1.000771266337e-03	2.979986222843e-01
1.000781266337e-03	3.066329914480e-01
1.000791266337e-03	3.153799527412e-01
1.000801266337e-03	3.242394797527e-01
1.000811266337e-03	3.332107142824e-01
1.000821266337e-03	3.422936195008e-01
1.000831266337e-03	3.514873398734e-01
1.000841266337e-03	3.607918278390e-01
1.000851266337e-03	3.702062303327e-01
1.000861266337e-03	3.797304888171e-01
1.000871266337e-03	3.893637525168e-01
1.000881266337e-03	3.991059517299e-01
1.000891266337e-03	4.089562378100e-01
1.000901266337e-03	4.189145297612e-01
1.000911266337e-03	4.289799809215e-01
1.000921266337e-03	4.391524989246e-01
1.000931266337e-03	4.494312389691e-01
1.000941266337e-03	4.598160972911e-01
1.000951266337e-03	4.703062308529e-01
1.000961266337e-03	4.809015245072e-01
1.000971266337e-03	4.916011369098e-01
1.000981266337e-03	5.024049415895e-01
1.000991266337e-03	5.133120988506e-01
1.001001266337e-03	5.243224710043e-01
1.001011266337e-03	5.354352199835e-01
1.001021266337e-03	5.466501970260e-01
1.001031266337e-03	5.579665657076e-01
1.001041266337e-03	5.693841663791e-01
1.001051266337e-03	5.809021643038e-01
1.001061266337e-03	5.925203891686e-01
1.001071266337e-03	6.042380080061e-01
1.001081266337e-03	6.160548401032e-01
1.001091266337e-03	6.279700543736e-01
1.001101266337e-03	6.399834600139e-01
1.001111266337e-03	6.520942279694e-01
1.001121266337e-03	6.643021576911e-01
1.001131266337e-03	6.766064223459e-01
1.001141266337e-03	6.890068120330e-01
1.001151266337e-03	7.015025023706e-01
1.001161266337e-03	7.140932745391e-01
1.001171266337e-03	7.267783068842e-01
1.001181266337e-03	7.395573721519e-01
1.001191266337e-03	7.524296517365e-01
1.001201266337e-03	7.653949104804e-01
1.001211266337e-03	7.784523332012e-01
1.001221266337e-03	7.916016774234e-01
1.001231266337e-03	8.048421318168e-01
1.001241266337e-03	8.181734472311e-01
1.001251266337e-03	8.315948166771e-01
1.001261266337e-03	8.451059850349e-01
1.001271266337e-03	8.587061502134e-01
